Food_A,Food_B,Food_C,Type,Reason,Impact
Egg,Curd,Sweet Potato,GOOD,Stable glucose,metabolic
Lemon,Paneer,Brown Rice,GOOD,Stable glucose,metabolic
Apple,Olive Oil,Lemon,DEPENDS,Context based,neutral
Almonds,Fish,Milk,DEPENDS,Context based,neutral
Brown Rice,Rice,Banana,DEPENDS,Context based,neutral
Lemon,Almonds,Rice,DEPENDS,Context based,neutral
Sweet Potato,Milk,Almonds,DEPENDS,Context based,neutral
Orange,Fish,Curd,DEPENDS,Context based,neutral
Carrot,Ghee,Orange,GOOD,Vitamin A absorption,absorption
Olive Oil,Broccoli,Quinoa,DEPENDS,Context based,neutral
Ragi,Broccoli,Brown Rice,DEPENDS,Context based,neutral
Peanut Butter,Paneer,Spinach,DEPENDS,Context based,neutral
Carrot,Milk,Egg,DEPENDS,Context based,neutral
Potato,Quinoa,Dal,GOOD,Stable glucose,metabolic
Paneer,Dal,Banana,DEPENDS,Context based,neutral
Dal,Ghee,Rice,GOOD,Stable glucose,metabolic
Dal,Bajra,Olive Oil,GOOD,Stable glucose,metabolic
Banana,Paneer,Tomato,DEPENDS,Context based,neutral
Lemon,Spinach,Chicken,GOOD,Iron absorption boost,absorption
Ghee,Fish,Sweet Potato,GOOD,Stable glucose,metabolic
Dal,Chickpeas,Chicken,DEPENDS,Context based,neutral
Broccoli,Carrot,Orange,DEPENDS,Context based,neutral
Chickpeas,Brown Rice,Chicken,GOOD,Stable glucose,metabolic
Tomato,Bajra,Curd,DEPENDS,Context based,neutral
Broccoli,Carrot,Broccoli,DEPENDS,Context based,neutral
Potato,Tomato,Broccoli,DEPENDS,Context based,neutral
Orange,Ghee,Egg,DEPENDS,Context based,neutral
Orange,Spinach,Milk,GOOD,Iron absorption boost,absorption
Tomato,Rice,Bajra,DEPENDS,Context based,neutral
Fish,Dal,Curd,DEPENDS,Context based,neutral
Brown Rice,Sweet Potato,Jowar,DEPENDS,Context based,neutral
Peanut Butter,Egg,Tomato,DEPENDS,Context based,neutral
Potato,Orange,Lemon,DEPENDS,Context based,neutral
Curd,Ragi,Ragi,DEPENDS,Context based,neutral
Spinach,Ghee,Olive Oil,DEPENDS,Context based,neutral
Bajra,Broccoli,Sweet Potato,DEPENDS,Context based,neutral
Spinach,Chicken,Paneer,DEPENDS,Context based,neutral
Chickpeas,Carrot,Lemon,DEPENDS,Context based,neutral
Curd,Fish,Quinoa,GOOD,Stable glucose,metabolic
Paneer,Paneer,Brown Rice,GOOD,Stable glucose,metabolic
Olive Oil,Paneer,Ragi,GOOD,Stable glucose,metabolic
Quinoa,Spinach,Chickpeas,GOOD,Stable glucose,metabolic
Apple,Lemon,Milk,DEPENDS,Context based,neutral
Almonds,Dal,Paneer,DEPENDS,Context based,neutral
Brown Rice,Lemon,Lemon,DEPENDS,Context based,neutral
Sweet Potato,Tomato,Ghee,DEPENDS,Context based,neutral
Peanut Butter,Broccoli,Tomato,DEPENDS,Context based,neutral
Rice,Spinach,Sweet Potato,DEPENDS,Context based,neutral
Banana,Tomato,Lemon,DEPENDS,Context based,neutral
Peanut Butter,Spinach,Banana,DEPENDS,Context based,neutral
Olive Oil,Jowar,Milk,DEPENDS,Context based,neutral
Egg,Chicken,Olive Oil,DEPENDS,Context based,neutral
Jowar,Lemon,Curd,DEPENDS,Context based,neutral
Brown Rice,Potato,Brown Rice,DEPENDS,Context based,neutral
Ragi,Bajra,Almonds,DEPENDS,Context based,neutral
Sweet Potato,Tomato,Broccoli,DEPENDS,Context based,neutral
Tomato,Peanut Butter,Paneer,DEPENDS,Context based,neutral
Tomato,Orange,Sweet Potato,DEPENDS,Context based,neutral
Banana,Tomato,Rice,DEPENDS,Context based,neutral
Curd,Paneer,Curd,DEPENDS,Context based,neutral
Ragi,Ghee,Jowar,DEPENDS,Context based,neutral
Rice,Almonds,Ghee,DEPENDS,Context based,neutral
Bajra,Curd,Broccoli,DEPENDS,Context based,neutral
Brown Rice,Tomato,Jowar,DEPENDS,Context based,neutral
Ghee,Ragi,Potato,DEPENDS,Context based,neutral
Egg,Milk,Curd,DEPENDS,Context based,neutral
Paneer,Carrot,Potato,GOOD,Stable glucose,metabolic
Olive Oil,Chickpeas,Egg,DEPENDS,Context based,neutral
Egg,Jowar,Ragi,GOOD,Stable glucose,metabolic
Bajra,Olive Oil,Jowar,DEPENDS,Context based,neutral
Dal,Broccoli,Lemon,DEPENDS,Context based,neutral
Brown Rice,Sweet Potato,Apple,DEPENDS,Context based,neutral
Rice,Fish,Rice,GOOD,Stable glucose,metabolic
Potato,Potato,Fish,GOOD,Stable glucose,metabolic
Quinoa,Orange,Jowar,DEPENDS,Context based,neutral
Rice,Apple,Broccoli,DEPENDS,Context based,neutral
Almonds,Tomato,Brown Rice,DEPENDS,Context based,neutral
Egg,Lemon,Paneer,DEPENDS,Context based,neutral
Quinoa,Chickpeas,Chicken,GOOD,Stable glucose,metabolic
Broccoli,Milk,Fish,DEPENDS,Context based,neutral
Chickpeas,Brown Rice,Ragi,GOOD,Stable glucose,metabolic
Apple,Almonds,Peanut Butter,DEPENDS,Context based,neutral
Banana,Olive Oil,Bajra,BAD,Heavy digestion + sugar spike,metabolic
Potato,Banana,Quinoa,DEPENDS,Context based,neutral
Egg,Rice,Spinach,GOOD,Stable glucose,metabolic
Quinoa,Chickpeas,Peanut Butter,GOOD,Stable glucose,metabolic
Chickpeas,Milk,Egg,DEPENDS,Context based,neutral
Ragi,Dal,Banana,GOOD,Stable glucose,metabolic
Ragi,Curd,Sweet Potato,DEPENDS,Context based,neutral
Carrot,Broccoli,Milk,DEPENDS,Context based,neutral
Carrot,Peanut Butter,Curd,GOOD,Vitamin A absorption,absorption
Curd,Bajra,Quinoa,DEPENDS,Context based,neutral
Quinoa,Milk,Egg,GOOD,Stable glucose,metabolic
Olive Oil,Jowar,Orange,DEPENDS,Context based,neutral
Brown Rice,Jowar,Ghee,DEPENDS,Context based,neutral
Sweet Potato,Jowar,Fish,GOOD,Stable glucose,metabolic
Olive Oil,Dal,Lemon,DEPENDS,Context based,neutral
Ragi,Sweet Potato,Carrot,DEPENDS,Context based,neutral
Chicken,Tomato,Brown Rice,GOOD,Stable glucose,metabolic
Olive Oil,Spinach,Spinach,DEPENDS,Context based,neutral
Ragi,Dal,Apple,GOOD,Stable glucose,metabolic
Carrot,Paneer,Tomato,DEPENDS,Context based,neutral
Potato,Jowar,Orange,DEPENDS,Context based,neutral
Orange,Apple,Spinach,GOOD,Iron absorption boost,absorption
Tomato,Jowar,Rice,DEPENDS,Context based,neutral
Orange,Brown Rice,Curd,DEPENDS,Context based,neutral
Banana,Almonds,Apple,DEPENDS,Context based,neutral
Egg,Jowar,Lemon,GOOD,Stable glucose,metabolic
Orange,Ragi,Ragi,DEPENDS,Context based,neutral
Paneer,Milk,Carrot,DEPENDS,Context based,neutral
Egg,Broccoli,Curd,DEPENDS,Context based,neutral
Spinach,Sweet Potato,Jowar,DEPENDS,Context based,neutral
Almonds,Fish,Tomato,DEPENDS,Context based,neutral
Apple,Olive Oil,Almonds,DEPENDS,Context based,neutral
Olive Oil,Apple,Jowar,BAD,Heavy digestion + sugar spike,metabolic
Milk,Curd,Olive Oil,DEPENDS,Context based,neutral
Chicken,Olive Oil,Lemon,DEPENDS,Context based,neutral
Chickpeas,Bajra,Chicken,GOOD,Stable glucose,metabolic
Banana,Egg,Dal,DEPENDS,Context based,neutral
Spinach,Ghee,Apple,DEPENDS,Context based,neutral
Peanut Butter,Sweet Potato,Egg,GOOD,Stable glucose,metabolic
Spinach,Tomato,Rice,GOOD,Iron absorption boost,absorption
Carrot,Carrot,Fish,DEPENDS,Context based,neutral
Lemon,Fish,Paneer,DEPENDS,Context based,neutral
Apple,Quinoa,Olive Oil,BAD,Heavy digestion + sugar spike,metabolic
Tomato,Lemon,Egg,DEPENDS,Context based,neutral
Banana,Ragi,Potato,DEPENDS,Context based,neutral
Apple,Broccoli,Apple,DEPENDS,Context based,neutral
Fish,Dal,Sweet Potato,GOOD,Stable glucose,metabolic
Quinoa,Fish,Orange,GOOD,Stable glucose,metabolic
Egg,Orange,Quinoa,GOOD,Stable glucose,metabolic
Chicken,Banana,Potato,GOOD,Stable glucose,metabolic
Quinoa,Broccoli,Potato,DEPENDS,Context based,neutral
Carrot,Orange,Brown Rice,DEPENDS,Context based,neutral
Orange,Carrot,Orange,DEPENDS,Context based,neutral
Potato,Apple,Paneer,GOOD,Stable glucose,metabolic
Rice,Milk,Broccoli,DEPENDS,Context based,neutral
Banana,Lemon,Milk,DEPENDS,Context based,neutral
Sweet Potato,Spinach,Almonds,DEPENDS,Context based,neutral
Carrot,Egg,Olive Oil,GOOD,Vitamin A absorption,absorption
Jowar,Rice,Banana,DEPENDS,Context based,neutral
Tomato,Sweet Potato,Tomato,DEPENDS,Context based,neutral
Spinach,Quinoa,Apple,DEPENDS,Context based,neutral
Chickpeas,Milk,Lemon,DEPENDS,Context based,neutral
Chickpeas,Orange,Broccoli,DEPENDS,Context based,neutral
Curd,Sweet Potato,Chicken,GOOD,Stable glucose,metabolic
Banana,Curd,Fish,DEPENDS,Context based,neutral
Sweet Potato,Almonds,Olive Oil,DEPENDS,Context based,neutral
Paneer,Ragi,Ragi,GOOD,Stable glucose,metabolic
Egg,Sweet Potato,Spinach,GOOD,Stable glucose,metabolic
Dal,Chickpeas,Lemon,DEPENDS,Context based,neutral
Rice,Olive Oil,Ragi,DEPENDS,Context based,neutral
Almonds,Broccoli,Paneer,DEPENDS,Context based,neutral
Fish,Egg,Apple,DEPENDS,Context based,neutral
Chicken,Broccoli,Ragi,GOOD,Stable glucose,metabolic
Chickpeas,Sweet Potato,Curd,GOOD,Stable glucose,metabolic
Lemon,Chickpeas,Orange,DEPENDS,Context based,neutral
Apple,Ragi,Orange,DEPENDS,Context based,neutral
Rice,Fish,Brown Rice,GOOD,Stable glucose,metabolic
Almonds,Potato,Quinoa,DEPENDS,Context based,neutral
Quinoa,Jowar,Potato,DEPENDS,Context based,neutral
Broccoli,Ghee,Apple,DEPENDS,Context based,neutral
Olive Oil,Ragi,Jowar,DEPENDS,Context based,neutral
Apple,Milk,Curd,DEPENDS,Context based,neutral
Milk,Bajra,Almonds,DEPENDS,Context based,neutral
Rice,Jowar,Sweet Potato,DEPENDS,Context based,neutral
Brown Rice,Lemon,Tomato,DEPENDS,Context based,neutral
Almonds,Bajra,Bajra,DEPENDS,Context based,neutral
Peanut Butter,Quinoa,Curd,DEPENDS,Context based,neutral
Apple,Egg,Almonds,DEPENDS,Context based,neutral
Tomato,Fish,Spinach,GOOD,Iron absorption boost,absorption
Sweet Potato,Lemon,Tomato,DEPENDS,Context based,neutral
Potato,Chicken,Rice,GOOD,Stable glucose,metabolic
Sweet Potato,Broccoli,Dal,GOOD,Stable glucose,metabolic
Chickpeas,Bajra,Carrot,GOOD,Stable glucose,metabolic
Ghee,Spinach,Broccoli,DEPENDS,Context based,neutral
Curd,Tomato,Chickpeas,DEPENDS,Context based,neutral
Lemon,Brown Rice,Orange,DEPENDS,Context based,neutral
Dal,Milk,Fish,DEPENDS,Context based,neutral
Jowar,Quinoa,Egg,GOOD,Stable glucose,metabolic
Jowar,Curd,Milk,DEPENDS,Context based,neutral
Rice,Fish,Quinoa,GOOD,Stable glucose,metabolic
Egg,Quinoa,Dal,GOOD,Stable glucose,metabolic
Milk,Carrot,Olive Oil,GOOD,Vitamin A absorption,absorption
Carrot,Brown Rice,Orange,DEPENDS,Context based,neutral
Jowar,Paneer,Chicken,GOOD,Stable glucose,metabolic
Spinach,Brown Rice,Fish,GOOD,Stable glucose,metabolic
Banana,Ghee,Apple,DEPENDS,Context based,neutral
Quinoa,Chickpeas,Peanut Butter,GOOD,Stable glucose,metabolic
Quinoa,Apple,Egg,GOOD,Stable glucose,metabolic
Quinoa,Carrot,Sweet Potato,DEPENDS,Context based,neutral
Chicken,Chicken,Orange,DEPENDS,Context based,neutral
Potato,Olive Oil,Jowar,DEPENDS,Context based,neutral
Lemon,Brown Rice,Ragi,DEPENDS,Context based,neutral
Ghee,Lemon,Potato,DEPENDS,Context based,neutral
Brown Rice,Carrot,Potato,DEPENDS,Context based,neutral
Milk,Spinach,Paneer,BAD,Calcium blocks iron,absorption
Jowar,Rice,Chicken,GOOD,Stable glucose,metabolic
Broccoli,Almonds,Olive Oil,DEPENDS,Context based,neutral
Brown Rice,Apple,Carrot,DEPENDS,Context based,neutral
Chicken,Dal,Chickpeas,DEPENDS,Context based,neutral
Lemon,Almonds,Curd,DEPENDS,Context based,neutral
Ghee,Brown Rice,Apple,BAD,Heavy digestion + sugar spike,metabolic
Rice,Fish,Chickpeas,GOOD,Stable glucose,metabolic
Banana,Tomato,Rice,DEPENDS,Context based,neutral
Fish,Bajra,Orange,GOOD,Stable glucose,metabolic
Lemon,Tomato,Olive Oil,DEPENDS,Context based,neutral
Chickpeas,Apple,Chicken,DEPENDS,Context based,neutral
Spinach,Jowar,Rice,DEPENDS,Context based,neutral
Milk,Spinach,Paneer,BAD,Calcium blocks iron,absorption
Chicken,Brown Rice,Milk,GOOD,Stable glucose,metabolic
Rice,Banana,Almonds,BAD,Heavy digestion + sugar spike,metabolic
Ragi,Quinoa,Dal,GOOD,Stable glucose,metabolic
Orange,Banana,Peanut Butter,DEPENDS,Context based,neutral
Broccoli,Orange,Carrot,DEPENDS,Context based,neutral
Egg,Dal,Sweet Potato,GOOD,Stable glucose,metabolic
Peanut Butter,Apple,Brown Rice,BAD,Heavy digestion + sugar spike,metabolic
Quinoa,Jowar,Carrot,DEPENDS,Context based,neutral
Milk,Milk,Dal,DEPENDS,Context based,neutral
Egg,Olive Oil,Milk,DEPENDS,Context based,neutral
Banana,Milk,Broccoli,DEPENDS,Context based,neutral
Chickpeas,Jowar,Ghee,GOOD,Stable glucose,metabolic
Peanut Butter,Banana,Lemon,DEPENDS,Context based,neutral
Tomato,Chickpeas,Curd,DEPENDS,Context based,neutral
Broccoli,Ragi,Orange,DEPENDS,Context based,neutral
Almonds,Egg,Paneer,DEPENDS,Context based,neutral
Carrot,Milk,Fish,DEPENDS,Context based,neutral
Apple,Broccoli,Egg,DEPENDS,Context based,neutral
Spinach,Carrot,Egg,DEPENDS,Context based,neutral
Bajra,Curd,Chicken,GOOD,Stable glucose,metabolic
Paneer,Bajra,Spinach,GOOD,Stable glucose,metabolic
Lemon,Egg,Ghee,DEPENDS,Context based,neutral
Apple,Dal,Paneer,DEPENDS,Context based,neutral
Spinach,Spinach,Chickpeas,DEPENDS,Context based,neutral
Orange,Potato,Peanut Butter,DEPENDS,Context based,neutral
Curd,Milk,Lemon,DEPENDS,Context based,neutral
Jowar,Dal,Orange,GOOD,Stable glucose,metabolic
Banana,Sweet Potato,Quinoa,DEPENDS,Context based,neutral
Banana,Chickpeas,Fish,DEPENDS,Context based,neutral
Broccoli,Ragi,Orange,DEPENDS,Context based,neutral
Dal,Tomato,Tomato,DEPENDS,Context based,neutral
Orange,Spinach,Fish,GOOD,Iron absorption boost,absorption
Apple,Brown Rice,Egg,GOOD,Stable glucose,metabolic
Dal,Olive Oil,Jowar,GOOD,Stable glucose,metabolic
Ragi,Broccoli,Lemon,DEPENDS,Context based,neutral
Olive Oil,Chicken,Almonds,DEPENDS,Context based,neutral
Banana,Rice,Broccoli,DEPENDS,Context based,neutral
Brown Rice,Olive Oil,Chicken,GOOD,Stable glucose,metabolic
Rice,Jowar,Rice,DEPENDS,Context based,neutral
Apple,Potato,Lemon,DEPENDS,Context based,neutral
Ragi,Quinoa,Orange,DEPENDS,Context based,neutral
Peanut Butter,Bajra,Brown Rice,DEPENDS,Context based,neutral
Potato,Egg,Olive Oil,GOOD,Stable glucose,metabolic
Chickpeas,Lemon,Brown Rice,GOOD,Stable glucose,metabolic
Chickpeas,Potato,Peanut Butter,GOOD,Stable glucose,metabolic
Broccoli,Egg,Ghee,DEPENDS,Context based,neutral
Ragi,Fish,Ragi,GOOD,Stable glucose,metabolic
Sweet Potato,Banana,Lemon,DEPENDS,Context based,neutral
Bajra,Chicken,Dal,GOOD,Stable glucose,metabolic
Ragi,Peanut Butter,Curd,DEPENDS,Context based,neutral
Potato,Carrot,Jowar,DEPENDS,Context based,neutral
Rice,Ragi,Curd,DEPENDS,Context based,neutral
Paneer,Rice,Jowar,GOOD,Stable glucose,metabolic
Lemon,Fish,Spinach,GOOD,Iron absorption boost,absorption
Chickpeas,Chickpeas,Quinoa,GOOD,Stable glucose,metabolic
Dal,Broccoli,Sweet Potato,GOOD,Stable glucose,metabolic
Spinach,Paneer,Dal,DEPENDS,Context based,neutral
Egg,Paneer,Chickpeas,DEPENDS,Context based,neutral
Olive Oil,Ragi,Orange,DEPENDS,Context based,neutral
Peanut Butter,Peanut Butter,Rice,DEPENDS,Context based,neutral
Curd,Spinach,Brown Rice,BAD,Calcium blocks iron,absorption
Banana,Broccoli,Quinoa,DEPENDS,Context based,neutral
Carrot,Chicken,Fish,DEPENDS,Context based,neutral
Tomato,Carrot,Chicken,DEPENDS,Context based,neutral
Brown Rice,Apple,Egg,GOOD,Stable glucose,metabolic
Apple,Dal,Chickpeas,DEPENDS,Context based,neutral
Potato,Almonds,Fish,GOOD,Stable glucose,metabolic
Lemon,Paneer,Potato,GOOD,Stable glucose,metabolic
Spinach,Potato,Fish,GOOD,Stable glucose,metabolic
Quinoa,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Chickpeas,Apple,Curd,DEPENDS,Context based,neutral
Spinach,Potato,Chicken,GOOD,Stable glucose,metabolic
Brown Rice,Chickpeas,Peanut Butter,GOOD,Stable glucose,metabolic
Bajra,Carrot,Broccoli,DEPENDS,Context based,neutral
Ragi,Quinoa,Ragi,DEPENDS,Context based,neutral
Ghee,Chicken,Fish,DEPENDS,Context based,neutral
Sweet Potato,Ragi,Chicken,GOOD,Stable glucose,metabolic
Egg,Olive Oil,Milk,DEPENDS,Context based,neutral
Broccoli,Almonds,Banana,DEPENDS,Context based,neutral
Jowar,Broccoli,Tomato,DEPENDS,Context based,neutral
Lemon,Curd,Fish,DEPENDS,Context based,neutral
Milk,Sweet Potato,Apple,DEPENDS,Context based,neutral
Chickpeas,Lemon,Egg,DEPENDS,Context based,neutral
Rice,Fish,Rice,GOOD,Stable glucose,metabolic
Chickpeas,Chickpeas,Lemon,DEPENDS,Context based,neutral
Paneer,Potato,Quinoa,GOOD,Stable glucose,metabolic
Bajra,Olive Oil,Fish,GOOD,Stable glucose,metabolic
Bajra,Potato,Banana,DEPENDS,Context based,neutral
Carrot,Brown Rice,Jowar,DEPENDS,Context based,neutral
Chickpeas,Chickpeas,Apple,DEPENDS,Context based,neutral
Brown Rice,Bajra,Chickpeas,GOOD,Stable glucose,metabolic
Potato,Spinach,Lemon,GOOD,Iron absorption boost,absorption
Rice,Ragi,Curd,DEPENDS,Context based,neutral
Carrot,Jowar,Spinach,DEPENDS,Context based,neutral
Tomato,Spinach,Carrot,GOOD,Iron absorption boost,absorption
Ghee,Potato,Bajra,DEPENDS,Context based,neutral
Quinoa,Apple,Spinach,DEPENDS,Context based,neutral
Carrot,Bajra,Peanut Butter,GOOD,Vitamin A absorption,absorption
Potato,Paneer,Ghee,GOOD,Stable glucose,metabolic
Egg,Peanut Butter,Chickpeas,DEPENDS,Context based,neutral
Chickpeas,Banana,Olive Oil,DEPENDS,Context based,neutral
Lemon,Sweet Potato,Milk,DEPENDS,Context based,neutral
Potato,Dal,Jowar,GOOD,Stable glucose,metabolic
Dal,Ghee,Broccoli,DEPENDS,Context based,neutral
Ragi,Peanut Butter,Ragi,DEPENDS,Context based,neutral
Brown Rice,Peanut Butter,Bajra,DEPENDS,Context based,neutral
Almonds,Jowar,Jowar,DEPENDS,Context based,neutral
Jowar,Rice,Banana,DEPENDS,Context based,neutral
Chickpeas,Dal,Carrot,DEPENDS,Context based,neutral
Peanut Butter,Ghee,Milk,DEPENDS,Context based,neutral
Brown Rice,Sweet Potato,Banana,DEPENDS,Context based,neutral
Potato,Paneer,Apple,GOOD,Stable glucose,metabolic
Lemon,Banana,Dal,DEPENDS,Context based,neutral
Milk,Peanut Butter,Apple,DEPENDS,Context based,neutral
Almonds,Almonds,Jowar,DEPENDS,Context based,neutral
Bajra,Bajra,Paneer,GOOD,Stable glucose,metabolic
Egg,Brown Rice,Curd,GOOD,Stable glucose,metabolic
Peanut Butter,Olive Oil,Sweet Potato,DEPENDS,Context based,neutral
Olive Oil,Fish,Chicken,DEPENDS,Context based,neutral
Dal,Chicken,Olive Oil,DEPENDS,Context based,neutral
Brown Rice,Lemon,Carrot,DEPENDS,Context based,neutral
Carrot,Chickpeas,Potato,GOOD,Stable glucose,metabolic
Milk,Lemon,Bajra,DEPENDS,Context based,neutral
Egg,Sweet Potato,Potato,GOOD,Stable glucose,metabolic
Peanut Butter,Sweet Potato,Potato,DEPENDS,Context based,neutral
Banana,Potato,Apple,DEPENDS,Context based,neutral
Jowar,Milk,Bajra,DEPENDS,Context based,neutral
Quinoa,Ghee,Lemon,DEPENDS,Context based,neutral
Fish,Banana,Banana,DEPENDS,Context based,neutral
Ghee,Paneer,Orange,DEPENDS,Context based,neutral
Carrot,Paneer,Jowar,GOOD,Stable glucose,metabolic
Apple,Dal,Olive Oil,DEPENDS,Context based,neutral
Spinach,Jowar,Jowar,DEPENDS,Context based,neutral
Milk,Brown Rice,Almonds,DEPENDS,Context based,neutral
Almonds,Spinach,Brown Rice,DEPENDS,Context based,neutral
Ghee,Orange,Brown Rice,DEPENDS,Context based,neutral
Curd,Rice,Bajra,DEPENDS,Context based,neutral
Brown Rice,Milk,Jowar,DEPENDS,Context based,neutral
Banana,Lemon,Quinoa,DEPENDS,Context based,neutral
Potato,Paneer,Egg,GOOD,Stable glucose,metabolic
Potato,Paneer,Paneer,GOOD,Stable glucose,metabolic
Brown Rice,Almonds,Quinoa,DEPENDS,Context based,neutral
Brown Rice,Sweet Potato,Banana,DEPENDS,Context based,neutral
Rice,Ragi,Bajra,DEPENDS,Context based,neutral
Spinach,Fish,Orange,GOOD,Iron absorption boost,absorption
Broccoli,Milk,Curd,DEPENDS,Context based,neutral
Fish,Milk,Chickpeas,DEPENDS,Context based,neutral
Chicken,Rice,Ghee,GOOD,Stable glucose,metabolic
Bajra,Olive Oil,Fish,GOOD,Stable glucose,metabolic
Chicken,Potato,Broccoli,GOOD,Stable glucose,metabolic
Fish,Orange,Brown Rice,GOOD,Stable glucose,metabolic
Chickpeas,Almonds,Carrot,GOOD,Vitamin A absorption,absorption
Apple,Apple,Orange,DEPENDS,Context based,neutral
Orange,Potato,Tomato,DEPENDS,Context based,neutral
Bajra,Almonds,Olive Oil,DEPENDS,Context based,neutral
Lemon,Milk,Broccoli,DEPENDS,Context based,neutral
Orange,Ragi,Almonds,DEPENDS,Context based,neutral
Rice,Ragi,Lemon,DEPENDS,Context based,neutral
Carrot,Brown Rice,Lemon,DEPENDS,Context based,neutral
Paneer,Tomato,Sweet Potato,GOOD,Stable glucose,metabolic
Dal,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
